分局,廟宇數,面積,廟宇密度,總人口,犯案件數,犯罪率,人口密度,是否為直轄市(1是0否),溫度
板橋+海山分局,50,23.14,2.160761,"551,557",7295,1322.619421,23835.65255,1,23
中和分局,39,20.14,1.936445,"413,563",4140,1001.056671,20534.40914,1,23
永和分局,6,5.71,1.050788,"221,731",2121,956.5644858,38832.04904,1,23
三重分局,34,16.32,2.083333,"387,651",6101,1573.838324,23753.125,1,23
新莊分局,59,93.05,0.634068,"601,224",5470,909.8106529,6461.300376,1,23
土城分局,28,29.56,0.947226,"238,179",3459,1452.269092,8057.476319,1,23
新店分局,111,777.13,0.142833,"346,211",4005,1156.808998,445.499466,1,23
蘆洲分局,63,81.79,0.770265,"324,615",3939,1213.437457,3968.883727,1,23
三峽分局,75,212.57,0.352825,"201,465",2091,1037.897402,947.7583855,1,23
樹林分局,29,33.13,0.87534,"184,170",1979,1074.550687,5559.009961,1,23
汐止分局,53,71.24,0.743964,"199,219",1483,744.406909,2796.448624,1,23
淡水分局,66,136.65,0.482986,"192,528",1841,956.2245492,1408.913282,1,22.2
瑞芳分局,83,388.29,0.213758,"66,540",813,1221.821461,171.366762,1,22.2
金山分局,58,163.85,0.353982,"56,638",281,496.133338,345.66982,1,22.2
大同分局,29,5.68,5.105634,"129,943",2910,2239.443448,22877.28873,1,23
萬華分局,23,8.85,2.59887,"193,415",5106,2639.919344,21854.80226,1,23
中山分局,30,13.68,2.192982,"231,332",5096,2202.894541,16910.23392,1,23
大安分局,15,11.36,1.320423,"311,404",4559,1464.014592,27412.32394,1,23
中正一分局+中正二分局,13,7.6,1.710526,"160,484",3596,2240.721817,21116.31579,1,23
松山分局,13,9.29,1.399354,"208,289",2442,1172.409489,22420.77503,1,23
信義分局,21,11.2,1.875,"227,666",3955,1737.19396,20327.32143,1,23
士林分局,34,62.37,0.545134,"289,916",3354,1156.886822,4648.324515,1,23
北投分局,43,56.82,0.756776,"257,384",2983,1158.9687,4529.813446,1,23
文山一分局+ 文山二分局,18,31.51,0.571247,"275,233",2793,1014.776571,8734.782609,1,23
南港分局,15,21.84,0.686813,"122,444",1561,1274.868511,5606.410256,1,23
內湖分局,15,31.58,0.474984,"287,861",2716,943.5109306,9115.29449,1,23
桃園分局,35,34.8,1.005747,"417,366","4,803",1150.788517,11993.27586,1,23
大園分局,33,175.37,0.188174,"148,133","1,020",688.5704063,844.6883732,1,23
大溪分局,40,455.9,0.087739,"102,800","1,179",1146.88716,225.4880456,1,23
中壢分局,35,76.52,0.457397,"381,449","4,747",1244.465184,4984.958181,1,23
楊梅分局,30,174.14,0.172275,"205,258","1,135",552.9626129,1178.695303,1,23
平鎮分局,13,47.75,0.272251,"212,328","1,635",770.0350401,4446.659686,1,23
龜山分局,26,72.02,0.361011,"141,998","1,701",1197.904196,1971.646765,1,23
八德分局,13,33.71,0.385642,"181,431","1,642",905.0272555,5382.112133,1,23
龍潭分局,14,75.23,0.186096,"116,211","1,162",999.9053446,1544.742789,1,23
蘆竹分局,18,75.5,0.238411,"151,354","1,145",756.5046183,2004.688742,1,23
第一分局,32,6.58,4.863222,134999,,"1,813.56",20516.56535,1,23.3
第二分局,23,6.94,3.314121,147324,,"1,583.81",21228.24207,1,23.3
第三分局,41,16.1,2.546584,194531,,981.05,12082.67081,1,23.3
第四分局,30,31.26,0.959693,161535,,"1,134.61",5167.466411,1,23.3
第五分局,52,62.7,0.829346,258948,,837.97,4129.952153,1,23.3
第六分局,20,39.85,0.501882,217820,,"1,445.39",5465.997491,1,23.3
豐原分局,168,134.4896,1.249167,428613,,757.05,3186.960181,1,23.3
大甲分局,98,204.5,0.479218,183133,,715.22,895.5158924,1,23
